xWort,reviewFrequency,reviewDate
(ab)fahren,,
(ab)fliegen,,
(an-)/(aus)ziehen,,
(an/aus)gezogen,,
(aus)tauschen,,
haben/machen,,
jahr,,
wegbringen,,
-fahren/-gehen,,
-laufen/-machen,,
-nehmen/-spielen,,
-nehmen/-werfen,,
abschließen,,
aktiv,,
aktuell,,
all,,
als,,
anders,,
ansehen,,
arm,,
aufhören,,
aufmachen,,
aufpassen,,
aufregend,,
aufräumen,,
ausfüllen,,
ausgeben,,
ausgehen,,
auspacken,,
aussprechen,,
austragen,,
außer,,
außerdem,,
außerhalb,T,2025-08-03
backen,,
bahn,,
basteln,,
bauen,,
beantworten,,
beantwortet,,
bedankt,,
beeilt,,
beenden,,
begründen,,
beliebt,,
bequem,,
beraten,,
bereitet vor,,
berichten,,
berühmt,,
beschreiben,,
beschwert,,
besonders,,
bestehen,,
bestätigen,,
bewirbt,,
bewölkt,,
bietet an,,
bis,,
blond,,
blöd,,
braten,,
brät,,
buchen,,
bunt,,
böse,,
chatten,,
damals,,
darüber,,
das (Fahr)Rad,,
das Blatt,,
das Brötchen,,
das Büro,,
das Café,,
das Ding,,
das E-Book,,
das Einkaufs,,
das Eis,,
das Fach,,
das Fenster,,
das Fest,,
das Festival,,
das Frühstück,,
das Gegenteil,,
das Gehalt,,
das Gemüse,,
das Gepäck,,
das Gericht,T,2025-08-03
das Gerät,,
das Geschirr,,
das Geschäft,,
das Gesicht,,
das Gespräch,,
das Getränk,,
das Gewitter,,
das Glück,,
das Handtuch,,
das Heft,,
das Hemd,,
das Hähnchen,,
das Instrument,,
das Interesse,,
das Interview,,
das Kaufhaus,,
das Klavier,,
das Kleid,,
das Konzert,,
das Kranken,,
das Messer,,
das Mineral,,
das Mittagessen,,
das Mittel,,
das Mobil,,
das Museum,,
das Mädchen,,
das Ohr,,
das Paar,,
das Paket,,
das Parfüm,,
das Passwort,,
das Pferd,,
das Plakat,,
das Poster,,
das Produkt,,
das Programm,,
das Projekt,,
das Quiz,,
das Radio,,
das Rathaus,,
das Reisebüro,,
das Rezept,,
das Rind,,
das Rätsel,,
das Schiff,,
das Schloss,,
das Schwein,,
das Schwimm,,
das Spiel,,
das Stipen,,
das Stockwerk,,
das Stück,,
das T-Shirt,,
das Tablet,,
das Taschengeld,,
das Team,,
das Tennis,,
das Theater,,
das Tier,,
das Training,,
das Verkehrs,,
das Zelt,,
das Zentrum,,
das Zeugnis,,
das Ziel,,
das Öl,,
dass,,
denken,,
der Anzug,,
der Apparat,,
der Artikel,,
der Babysitter,,
der Ball,,
der Basketball,,
der Berg,,
der Bescheid,,
der Besuch,,
der Club,,
der Empfänger,,
der Fahrplan,,
der Familien,,
der Fan,,
der Fernseher,,
der Flohmarkt,,
der Flug,,
der Fluss,,
der Führer,,
der Glück,,
der Hals,,
der Hamburger,,
der Haushalt,,
der Himmel,,
der Kalender,,
der Keller,,
der Kontakt,,
der Kredit,,
der Krimi,,
der Käse,,
der Körper,,
der Kühl,,
der Link,,
der Löffel,,
der Magen,,
der Mantel,,
der Markt,,
der Mitarbeiter,,
der Motor,,
der Motorroller,,
der Müll,,
der Nachbar,,
der Park,,
der Pullover,,
der Reifen,,
der Reiseführer,,
der Rest,,
der Ring,,
der Rock,,
der Rucksack,,
der Rundgang,,
der Rücken,,
der Satz,,
der Schirm,,
der Schlüssel,,
der Schmerz,,
der Schnee,,
der Schüler,,
der Service,,
der Ski,,
der Spazier,,
der Spaß,,
der Sportplatz,,
der Stadtplan,,
der Star,,
der Stiefel,,
der Stift,,
der Strand,,
der Stress,,
der Stuhl,,
der Teller,,
der Tipp,,
der Titel,,
der Topf,,
der Tourist,,
